label,text,coarse_label
1,"This review does not suggest a law enforcement community reviled by the African-American community, or the country",0
1,"President Obama has triedto curry favor with blacks, Hispanics, women, the young and the poor byconvincing themthat they suffer from injustices,that they are victimized by the one percent, by law enforcement, by corporations or insurers -- or by Republicans",0
1,Americans aren't buying it,0
1,"Increasingly, they see a country victimized by an incompetent president",0
0,"In a case brought by three sex workers, the Supreme Court of Canada, in December 2013, struck down three provisions of the Canadian prostitution law",2
0,"becausethey violated sex workers' human and ""constitutional right to security of the person"" byimposing ""dangerous conditions on prostitution""",2
0,"In June 2014, the Canadian government introduced a new prostitution law, Bill C-36 ""Protection of Communities and Exploited Persons Act"",which entered into force on December 5",2
1,the Supreme Court had created the space for a radical change in the approach to sex work byreaffirmingthat human and constitutional rights apply to sex workers too,0
1,democratic procedures in Canada seemto have failed sex workers,0
5,"The Canadian Pivot Legal Society arguesthat Bill C-36 has been ""consistently misrepresented""andthat it ""will result in sweeping criminalisation of the sex industry"",including sex workers themselves",2
1,"Others have calledit a ""hate law""",0
1,"becausethe safety and security of sex workers was, in fact, not the priority for somewho voted for the Bill C-36",0
5,"One of the Senators, Donald Plett, clearly stated his priority in this regard:""We don't wantto make life safe for prostitutes;we wantto do away with prostitution.""",2
1,Canada is not the only statethat has passed questionable legislation on sex work,0
5,""".[S]tates frequently deny sex workers the same human and legislative rights and protections afforded to other workers and citizens,""says sex work researcher Jay Levy",2
1,The question is:Howdo human rights apply to sex workersandwhat laws and policiesshould states make?,0
1,"Howshould sex worklaws look like,ifhuman rights areto be respected to the fullest extent?",0
1,The answer to these questions is controversial - both philosophically and politically,0
1,"In the past year, numerous countries have put sex work policies on their political agenda - for different reasons and with different goals and outcomes",0
1,"There are numerous examples worldwide,wherethe courts have upheld sex workers' human rights and questioned existing prostitution laws or filled legal grey areas",0
0,"In New Zealand,wheresex work is decriminalised,a sex worker won a case for sexual harassment against a brothel owner",2
0,"In New York, 1,900 strip club dancers won a labour rights case against their employer",2
0,who will haveto pay them at least $10m in compensation,2
0,Recently an Austrian court has ruledthat the cost of forced health checks imposed on sex workers hadto be reimbursed,2
0,"Both in Germany and in Austria, court rulings abolished to notion of prostitution asbeing ""immoral""",2
1,thus opening up the space for legal reform and the recognition of sex work as work,0
0,"The European Court of Justice has repeatedly ruledthat ""prostitution"" is an ""economic activity""andthat within the European Union member states cannot restrict ""freedom of movement"",not even for sex workers",2
1,court rulings are useful and necessary inreminding usthat sex workers have rights too,0
1,relying solely on courtsto read human rights into existing legislationcannot be the sole answer to injusticesthat sex workers face,0
1,Democracies needto step into make lawsthat actually improve sex workers' lives,0
1,- a goalthat has proven difficultto reach,0
1,"Historically marginalised and stigmatised,sex workers have a hard time inpushing for a reform of prostitution laws",0
1,"Most politicians, especially if male and heterosexual, do not wishto be associated with sex work",0
1,Prejudices and lack of knowledge about the topic as well as the unwillingnessto engage with sex workersthemselves have provento be hard obstacles to surmount,0
1,"Often, sex workers are heard in consultation processes",0
1,their views and political claims aren't always taken seriously,0
1,"By contrast, anti-prostitution activists calling for a world without prostitution have been far more successful in their lobbying efforts against sex work",0
1,They also explicitly distance themselves from self-identified sex workers,0
1,who they often accuse ofbeing nothing but criminals,0
1,anti-prostitution activists have managedto ally themselves with mostly sexually and socially conservative groups in their call for the suppression of sex work,0
0,"using slogans like""end demand"" or ""abolish prostitution now"",they have been calling for the so-called ""Swedish Model"",in which the act of selling sex is formally decriminalised,whileclients are charged with a monetary fine",2
1,"Byincreasing the cost of a sexual transaction,the law should work as a deterrent",0
0,"A variation of the law has been implemented in other small countries, such as Norway, Iceland, and, most recently, Northern Ireland",2
1,Supporters of this approach claimthat only this particular law will reduce human trafficking as well as prostitution,0
1, the Swedish approach comes with many flaws and open questions,0
1,Becauseits goal is a society without sex workers,0
1,the law does not intendto provide any guidance on the lawswe need in a society with sex workers,0
1,Norway is consideringrepealing the law,0
1,the evaluation of the law has not been ableto prove its success,0
4,the EUROSTAT report on human trafficking does not point to a decrease in human trafficking in Sweden,2
1,sex workers' working conditions have worsened,0
1," the ""Swedish Approach"" criminalises any attemptto create safe working environments for sex workers",0
0,"anyone renting indoor space to sex workers can be charged with ""pimping""",2
0,"Ironically, this provision has not reduced pimping, but induced many landlordsto put sex workers on the streetsin orderto avoid a fine for ""pimping"",asthe so-called ""Operation homeless"" has shown in Norway",2
0, Sweden does not allow immigration for the purposes of prostitution and has been deporting migrant sex workers,2
1,who are still seen a problem of public order and security,0
0,It wasn't until 2011that a Swedish Court ruledthat deporting citizens of the European Union selling sex in Sweden was illegal,2
0,"Last but not least, even Sweden and Norway tax income from sex work, whilerefusingto recognise it as labour",2
1,"As empirical studies on the implementation of the ""Swedish approach"" show, its weaknesses inguaranteeing sex workers' human rights,policy-makers also have becomesceptical",0
0,A Special Committee of French Senate excluded the provision criminalising clients from the proposed new prostitution law in summer 2014 - based on the recommendations of the National Consultative Commission on Human Rights,2
1,"So far, it is unclearwhetherFrance will go forward with the law at all",0
0,"Britain has also excluded the provision criminalising the purchase of sex from its ""Modern Slavery Bill""",2
0,which has itself been criticised by NGOs fornot doing justice to victims of human trafficking,2
1,Germany is also workingto reform its prostitution law,0
2,"The Global Network of Sex Work Projects advocates ""decriminalisation"" of sex work",2
0,"only New Zealand has chosen ""decriminalisation"" as sex work policy",2
1,maybe India will be next,0
5,"India's chair of the National Commission of Women, Lalitha Kumaramangalam, recently statedthat the ""Immoral Traffic Prevention Act"" should be revised in orderto create""conditions conductive for sex workersto live with dignity""",2
1, the existing law casts sex workers simultaneously as dangerous to society and as victimsto be forcefully protected from their own choices,0
1,"Either way, they are not recognised as equal citizens, workers, and members of a social and political community with human rights",0
1,"Bydecriminalising sex work,India would set an example for other countries, too",0
5,"a law practitioner recently pointed outthat ""the position of defining prostitution itself as inherently exploitative and a form of violence against womendoes not allow people in prostitutionto access their rightto earn a livelihood through sex work.""",2
1,"It is time for democraciesto include sex workers in policy-making processes and take them seriously - notjustbecausedemocratic values mandate it,butbecausesex workers are the experts on the matter",0
0,"On December 11, 1917,a mere two days after the above letter was written,British General Edmund Allenby entered Jerusalem triumphantly through the Jaffa gate",2
0,the city became an occupied territory,2
5,"On this historic occasion, Allenby reportedly declaredthat ""the wars of the crusades are now complete""",2
1,"Allenby's statement is a powerful reminderthat the British entry into Jerusalem was a continuation of and a ""successful"" conclusion to the Crusades",0
1, Allenby's statement introduces a critical epistemic connection between the modern British colonial project in Palestine and the Crusades of the 11-14th century,0
5,"The then Prime Minister David Lloyd George described the capture of Jerusalem as ""a Christmas present for the British people""",2
0,he had advisedAllenby to take the city before the Holidays,2
1,"Allenby's statement on the Crusades was not an isolated one,asillustrated by a number of British press and book publications from the period",0
5,"For example, Punch ran a headline on December 19, 1917declaring ""the Last Crusade"" with an illustration of ""Richard Coeur de Lion looking down towards Jerusalem and nodding contentedly, 'Mydream comes true!'""",2
5,"The British press was initially instructed in a ""private and confidential"" memo dated November 15, 1917,not to refer to the ""military operations against Turkey in any sense as a Holy War, a modern Crusade, or anythingwhateverto do with religious questions""",2
0," the press after a brief period ignored the instructions and startedusing the word ""Crusade"" indiscussing the occupation of Jerusalem",2
1,The memo was intendedto prevent any friction with Muslim troops recruited from British coloniesto fight in the war and avoidharming the alliance with Sharif Hussein of Mecca,0
1,"More importantly, the British Department of Information itself beganto usethe word ""Crusade"" to convey a very distinctive religious and historical connection to earlier periods",0
5,"The department celebrated in a telegram from Palestinethat ""two of the commanderswho have played a great part in the South Palestine campaignare descended from knightswho fought in the wars of the Crusades""",2
0,"A few months after the conquest of Jerusalem, the Department of Information produced a 40-minute documentary entitled""The New Crusades:With the British Forces on the Palestine Front"", thus articulating the new colonial adventure in distinctive religious terms",2
0," a large number of books from the period had ""Crusade"" incorporated into their titles: ""Khaki Crusaders"" (1919), ""Temporary Crusaders"" (1919), ""The Modern Crusaders"" (1920), ""The Last Crusade"" (1920), ""With Allenby's Crusaders"" (1923), and ""The Romance of the Last Crusade"" (1923)",2
1,"There was a clear urgeto frame the colonisation project in Palestine in religious terms and view it as a continuation of the earlier Muslim-Christian conflict, despite claims offighting the Ottomans on the basis of European secularism and anti-religious modernity",0
1,The British were not the only ones thinking in these terms,0
5,"In his book The Clash of Fundamentalisms: Crusades, Jihads and Modernity,Tariq Ali describeshowthe French commander Henri Gouraud uponentering Damascus with his troops,went to Saladin's tomb, kicked it and proclaimed;""The Crusades have ended now!Awake Saladin, we have returned!My presence here consecrates the victory of the Cross over the Crescent""",2
1,"The idea of the ""Crusade"" was incorporated into the support extended to the Zionist movement and the planto establish a Jewish homeland in Palestine",0
1, theological interpretations and attempts atrecreating the biblical pastwere aimed atushering in a distorted extreme right-wing Christian vision of the worldthat involved Israel as a stepping stone for its realisation in anticipation of the Second Coming,0
1,The British Occupation in 1917 madeit possibleto put into action the Balfour Declaration and the plan forbuilding a Jewish homeland at the expense of the Palestinians,0
1,The British undertook this project not out of love or concern for Jews,0
1,"on the contrary some of the strongest supporters of Zionism were ardent anti-Semites, including Lord Balfour himself",0
1,"Europe's theoretically constructed racist, bigoted and intolerant attitudes and policies towards Jews were the primary reason forsupporting Zionism",0
1,"December 11, 1917 isthe day that Jerusalem was lost",0
1,"On this date, Palestine enteredthe colonial tunnel and the dispossession of its indigenous population began",0
1,"From this date forward, Palestine, Jerusalem and the Palestinians were set on a course of confrontation with the British and the Zionists",0
1,who worked togetherto create a national home for the Jewish people,0
0,"the 1948 Nakba led to the physical expulsion of some 750,000 Palestinians",2
1,it is the British occupation in 1917 followed by the Mandatethat sealed Palestine's fate as the last colonial projectto be commissioned,0
1," Zionism was incubated in the British colonial womb with an umbilical cord connected to Europe's settler, colonial and racist epistemology",0
1,The British occupation madeit possible for Zionismto get a foothold in Palestine,0
1,"Whatfollowedwas the tormenting of the Palestinians through ethnic cleansing and expulsion,massacres, home demolitions, settlement expansions, land confiscation, everyday violence, attacks on al-Aqsa,building an Apartheid Wall and issuing more than 40 lawsdescriminating Palestinians",0
1,The last chapter of this story will be written by the Palestinians and their allies around the world,0
1,"for sure it will praise freedom, dignity and the end of racist colonialism in Palestine",0
1,"By any measure, organized religion is challenged these days",0
1,"Attendance is down,membership is down, even the number of peoplewho identifyasreligious is down",0
1,"But in the midst of this downward trend, one expression of religious intensity is up",0
1,"And not just up, but way up",0
1,What'sthis mystery activitythat more and more people are participating in?,0
0,"In September, the United Nations held the first ever International Congress on Tourism and Pilgrimages",2
4,"At the event, held in Santiago de Compostela in Spain, the organizers releaseda studythat said a third of all tourists worldwideannually are pilgrims",2
4,The U.N  puts the total number of people going on a pilgrimage each year at 330 million,2
1,That meansnearly a million people every day are leaving their homes and going on a spiritual exploration,0
0,"Last year, I went on six of the biggest and most important of these pilgrimages in the course of 12 months",2
0,"I bathed with 100 million people in the River Ganges, walked along the Jesus Trail in the Galilee, and trekked on an 750-miles Buddhist trail in Japan",2
0,"My travels, over 120,000 miles, were part of a new television series, ""Sacred Journeys with Bruce Feiler,""that tells the story of the growing power of pilgrimage in the contemporary life",2
0,Each hour of the six-hour series focuses on American pilgrims making one of these historic journeys,2
1,Some of these seekers don't fit the stereotype of spiritual travelers,0
0,"Last May I traveled with 40 wounded warriors from Iraq and Afghanistanto bathe in the sacred waters of Lourdes, France",2
0,"Some of these genuine heroes had legs blown off, were blinded, or suffered other serious injuries",2
0,A sniper from Kansas hada grenade go off in his face,2
0,"On this extraordinary journey, neverbeforeseen on film,these soldiers traveled from Walter Reed Medical Center in Washington, D.C , to the small town in southwest France",2
0,wherein 1858 a peasant girl namedBernadette Soubirous claimedto have dozens of encounters with the Virgin Mary,2
0,Some of the soldiers were in wheelchairs,2
0,others were being pushed on hospital gurneys,2
1,They had already received excellent medical care,0
1,they still longed for something,0
1,They needed healing,0
1,That sense of openness captures the spirit of many pilgrims,0
1,Pilgrimages are never easy,0
1,They're tough physically,0
1,they're tough mentally,0
1,"yet whenyou arrive at the destination,often with a groupyou've bonded with along the way,a pilgrimage can be magical like few gatherings on earth",0
1,"At a timewhenorganized religion is more threatened than ever,pilgrimages are more popular than ever",0
1,becausethey offer pilgrims the chanceto experience firsthand some of the most sacred places in the worldand decide for themselveswhatthey really believe,0
1,They allowpilgrims to escape the ordinary and encounter the extraordinary,0
1,"It's a harder wayto experience faith, perhaps",0
1,ultimately it can be more fulfilling,0
1,And it's one step in the direction ofmakingreligion a viable force in the digital age,0
0,"The brutal and tragic murders of 12 people at the offices of Charlie Hebdo in Paris - 10 staff members and two police officers - by masked gunmen has triggered an outpouring of shock and grief, not only in France but around the world",2
0,"Large, spontaneous vigils filled the streets of many French cities",2
0,"whilesocial media was awash with solidarity and condemnation, including the hashtags #JeSuisCharlie and #NotInMyName,which was used by Muslimscondemning the attacks",2
0,Police in France have identified and released the photographs of two brothers suspectedto be involved in the attack,2
1,"whileearly speculation focused on the premisethat Muslim extremists were behind the dreadful act, especially given the magazine's long history ofsatirising Islam and other religions",0
0,The two brothers have been identified as 32-year-old Said Kouachi and 34-year-old Cherif Kouachi,2
1,"This theory has been reinforced by eyewitness accounts of the men shouting ""Allahu Akbar""",0
5,The designerwho was forcedto let the assailants insaysthey told herthey were with al-Qaeda,2
5,"according to AFP, the police claimthat one of the killers remarked:""We have avenged the prophet.""",2
1,"WhyProphet Muhammad would need anyoneto ""avenge"" himis beyond me",0
1,"The prophet endured far more mockery, humiliation, insult and rejection during his lifetime withoutneeding or ordering hitmento defend his honour than that meted out by a group of equal-opportunity French cartoonistswho despise and satirise all forms of organised religion",0
1," like with Anders Breivik in Norway,the perpetrators turn outnot to be linked to Islamist groups",0
1,",the collateral damage to French and European Muslims has already been done, despiteone of the fallen police officers being a Muslim",0
1,"With the strength of the Front National in France, UKIP in Britain and other anti-Muslim and anti-immigrant currents across Europe, a popular or populist backlash is almost inevitable",0
1,"Inneighbouring Germany,the thousands of Patriotic Europeans Against the Islamisation of the West (PEGIDA)who have turned out to rallies, though still small enoughto be labelled a ""flop"",has setalarm bells ringing to the extentthat strong counter protests have taken place",0
1,"Like Muslimswho fantasise about an ahistorical caliphate, conservative Europeanswho dream of a bygone utopia of a Europe uncontaminated by Islam or immigration,miss the realitythat the ""Islamisation of the West"" occurred centuries ago",0
1,"Islamic civilisation is so hard-wired into Europe's cultural, social and intellectual DNAthat it would be impossibleto expunge its influence",0
1,"The same applies in the other direction, in light of Christendom's and the West's powerful influence on Arab and Islamic society",0
1,"In addition to the philosophy, science, literature and art of the Muslim worldwhich profoundly shaped the European Renaissance,Islamic culture had some far more unexpected and surprising influences on western civilisation",0
1,"One man in particular,for whom no statues or memorials stand anywhere in Europeandvery few westerners have heard of,is possibly the most unsung cultural, style and musical icon in European history",0
0,"In the ninth century, Ziryab, Cordoba's most sought-after hipster, brought into vogue the idea of seasonal fashions, steering history's catwalk towards the fashion slavery of the 21st century",2
0,"This Sultan of Style also added a fifth pair of strings to the Arab ""oud"", paving the way to the European lute",2
1,which would become the modern guitar,0
0,"He also introduced Europe to the idea of dining etiquette, from table cloths and crystal decanters to the three-course meal",2
1,"Fashion, fine food and rhythm are notwhatEuropeans tend to associate with Muslims or Islam today",0
1," they are haunted by images of fundamentalists, not fun-loving eccentrics, and fanatics, not fans of refined culture",0
1,As someonewho is well aware of the destructive influence of violent Islamism in the Middle East,0
1,"I can, at a certain level, sympathise with fears in the West over radicalisation",0
1,"But Islamic extremism is mostly a threat to Muslim societies, not to Europe",0
1,"a minority has never, in history, imposed its will on a majority, except in the form of a military conqueror",0
1,This exaggerated sense of threat can be seen in the enormous hysteria in segments of the media and among some politicians regarding the small trickle of European jihadistswho have goneto fight in Syria,0
1,Althoughone gets the impressionthat Europe has sent forth a veritable Islamic army to the Levant,0
5,"the real number is around 3,000 from across the continent, including the dead and returned, according to an estimate by Gilles de Kerchove, the EU's anti- terrorism chief",2
1,Whileit is importantto be vigilant and to find effective waysto deal with the threat posed byreturning fighters,0
1,society must steer clear of stigmatising Europe's already marginalised and distrusted Muslim communities,0
2,This isbecauseit is unfairto blame an entire group for the behaviour of a tiny minority,2
1,it is also counterproductive,0
1,"asmarginalisation is a significant, but not the only, factor in radicalisation",0
1, the demonisation of minorities iswhatnurtures the truly threatening radicals in Europe's midst;the far-right and neo-Nazis,0
1,"Since the end of World War II, Western Europe has worked consciouslyto build and celebrate diversity",0
1,"Despite its weaknesses and failings, Europe needsto cherish, build and strengthen its multicultural experiment",0
1,It's unconstitutional,0
1,It's reckless,0
1,It's lawless,0
1,"All these things have been said about President Obama's executive action on immigration--a breathtaking orderthat not only changes laws passed by Congress, but will likely send millions of mostly low-skill workers flooding into a workplacethat is already strugglingto raise wages and find room for all those needing jobs",0
2,"Immigration is a remarkably complex subject, and not just as a matter of policy",2
2,Our nation's immigration laws can be difficultto understand,2
1,"Our Constitution, however, isn't complicated",0
1,Our system of government is simple,0
2,Congress writes the law,2
2,the president executes the law,2
2,the judiciary interprets the law,2
2,The president does not make new law,2
2,"That concept is called the ""separation of powers,""",2
1,it's of core importance to our democracy,0
2,"As a bulwark against tyranny, our Founders determinedthat no single branch of government could perform all the functions of government--making, enforcing, and interpreting the law",2
1," our Founders took the classic powers of a king and divided them between the legislative, executive, and judicial branches",0
1,"For our governmentto work,those functions must remain separate",0
1,But President Obama disagrees with the Founders,0
1,"In his view, apparently, government is only truly ""working""whenhe gets the policieshe wants",0
1,"Whenhe doesn't,he calls that ""obstructionism"" and gets busy finding workarounds to democracy",0
2,Whilepresidents do have a degree of discretion indeterminingexactly howto enforce the law,2
1,"President Obama's immigration actions go far, far beyond that lawful discretion and veer directly into lawmaking, the exclusive role of the legislature",0
3,Here's how,1
1,"President Obama is taking action in direct defiance to Congress's ""expressed or implied intent,""",0
1,"that meanshis power--constitutionally--is at its ""lowest ebb.""",0
0,"Supreme Court Justice Robert Jackson, in the seminal case of Youngstown Sheet & Tube Co  v  Sawyer, outlined an influential three-part test for executive action",2
5,"Presidential power is ""at its maximum""whenacting pursuant to congressional authorization",2
5,"There is a ""zone of twilight""whenthe distribution of power between Congress and the president is uncertain",2
5," there's the ""lowest ebb,""whenthe president defies Congress",2
1,That'sexactly whatPresident Obama did,0
2,"Article I of the Constitution grants Congress -- not the president -- the powerto ""establish a uniform Rule of Naturalizations,""",2
0,Congress has acted under that powerto write and pass a comprehensive set of immigration statutes,2
1,Many people disagree with those laws,0
1,President Obama is particularly dissatisfied,0
2,they are still the law,2
1,"And the president certainly can't hide behind ""prosecutorial discretion.""",0
5,"The Office of Legal Counsel (OLC) --the government lawyersPresident Obama askedto evaluate his proposed program--were clear,declaringthat the president cannot ""under the guise of exercising enforcement discretion, attemptto effectively rewritethe laws to match its policy preference.""",2
5,"asthe Secretary of Homeland Security said,""As an act of prosecutorial discretion, deferred action is legally available so longasit is granted on a case-by-case basis,andit may be terminated at any time at the agency's discretion.""",2
1,"did President Obama promise a ""case-by-case"" determination",0
1,did he make a sweeping promise to millions of illegal immigrants?,0
1,He didn't promise them a careful review,0
1,he promised them a deal,0
3,Here are his words,1
1,"So we're goingto offer the following deal:Ifyou've with been in America more than five years.Ifyou have childrenwho are American citizens or illegal residents.Ifyou register, pass a criminal background checkandyou're willingto pay your fair share of taxes,you'll be ableto applyto stay in this country temporarily without fear of deportation",0
5,.You can come out of the shadows and get right with the law.That'swhatthis deal is,2
0,"Tuesday, I am testifying before the House Judiciary Committee",2
0,"I am examining the ""deal""President Obama offers and compare it with the requirements of the law -- the requirement of a case-by-case review",2
1,"The ""deal"" does not match the law",0
1,"President Obama is enacting the ""case-by-case"" review mandated by the OLC memo",0
1,"he is misleading the four million illegal alienshe encouragedto come ""out of the shadows.""",0
1,"he is defying the attorneys at the OLC and giving illegal aliens the ""deal""he promised",0
1,then he is misleading the American public,0
1,No one disputesthat our nation faces an immigration challenge,0
1,"We've got a porous, dangerous border, a flood of illegal immigrantswhose increasing numbers drive down wages and can overburden social services",0
4,we've got millions of people in the countrywho are looking for some form of permanent status,2
1,No one doubtsthat legislative reform is necessary,0
1,I believewe need comprehensive immigration reform beginning withsecuring our borders,0
2,We truly are a nation of immigrants,2
1,I am the grandson of a Russian immigrant,0
1,But that reform must be done lawfully and in accordance with the Constitution,0
2,impatient presidents may not violate the Constitutionifthey don't get their way,2
1,Indoing so--in circumventing Congressto change the law--President Obama has set a dangerous precedent,0
1,Congress must reassert its authority and preserve our Constitution,0
1,Our democracy is at stake,0
1,Courageous journalism is under attack today,0
1,"The horrifying shooting by masked gunmen at a Paris magazine office,which has left12 dead,is an assault on everyone in the news business",0
1,"And the factthat the paper, Charlie Hebdo, is a satirical publicationmatters not at all",0
1,satire can sting as sharply as any media commentary -- especiallywhenit comes to the sensitive subject of religion,0
0,Several news outlets are reportingthat the attackers identified themselves asbeing from Al Qaeda in Yemen,2
1,"whateverbranch of Islamic terrorism is responsible for this heinous crime,the targeting of the French paper is no accident",0
0,"On its cover today is a caricature of a controversial novelist, Michel Houellebecq",2
0,"whose book""Submission"" forecasts a France run by Muslimsandwherepolygamy is practiced",2
0,And the last tweet posted by the magazine was a mocking spoof of ISIS leader Abu Bakr al-Baghdadi,2
1,Charlie Hebdo has been a target before,0
0,Its offices were firebombed in 2011,2
0,"afterthe paper ran a cartoon of the Prophet Muhammad vowing ""100 lashesifyou don't dielaughing!""",2
1,The vicious attack would be shocking news,0
1,the target was an insurance company office,0
1,singling out a media enterprise -- especially onethat has daredto poke fun at Islam--the terrorists are sending an even louder message,0
1,one designedto frighten and intimidate,0
1,We saw the same evil calculation in the decision by ISISto killjournalists James Foley and Steve Sotloffand to circulate video of their beheadings,0
1,This was a wayto amplify the propaganda value of such executions and generate even more coverage by journalists,0
1,who felt an instinctive kinship with their fallen brethren,0
1,That ploy worked,0
1,ISIS sparked weeks of anguished coverage around the globe,0
1,"the images of the soon-to-be-murdered journalists, published far too often in my view, became the face of Islamic terror",0
1,"After that,even asthe U.S  and its allies struck back at ISIS in Iraq and Syria",0
1,the coverage greatly receded,0
1,Terrorists understand the media's needto personalize a tragic story,0
1,Wednesday's attack was also a far bloodier version of the Sony Pictures hacking,0
1,which was aimed atparalyzing and humiliating a media company over its ill-advised filmthat depicted North Korean strongman Kim Jong-un's head being blown up,0
1,That act of cyberterrorism also served as a warning to other media outfitsthat might take on North Korea,0
1,Charlie Hebdo specialized inskewering sacred cows,0
5,"""Itspages are filled with vulgar caricatures and caustic humor, lampooning politicians, entertainers and media personalities of all stripes,""the New York Times reported three years ago,""andthe magazine has founditself a frequent presence at Paris courts,accused on several dozen occasions of defamation or inciting hate",2
5,"""The world's religions have also been favorite targets of the paper,this being France,wherestate-mandated secularism is a sort of religion of its own.The cover page of one recent issue featured a cartoon of three rolls of toilet paper, labeledBible, Koran and Torah, and the headline: 'In the toilet,all the religions",2
1,"The danger now isthat journalists around the world will engage in self- censorship,that they will pull back on aggressive reporting and analysis of Islamic terrorism",0
1,"For every potentially provocative article, headline or cartoon, some will ask themselves,is this worth the risk?",0
1,"Wouldn't it be easier, safer,to letthis one go?",0
1,"And each timethat happens, the gunmenwho unleashed a hail of bullets in a Paris magazine office Wednesdaywill have won",0
3,"Howard Kurtz is a Fox News analyst and the host of ""MediaBuzz"" (Sundays 11 a.m  and 5 p.m  ET)",1
3,He is the author of five books and is based in Washington,1
1,There is nothing like a little heat from a third political partyto get the attention of career politicianswho wishto stay in office,0
1,"Nigel Farage, leader of the upstart UK Independent Party (UKIP), has been turning up the heat on British Prime Minister David Cameron over the issue of migrantswho come to the UK without jobsand immediately sign up for government benefits",0
1,The debate in Britain mirrors the one in the United States with one important exception,0
1,"A treaty with the European Union requiresBritain to accept migrants from all EU countries,no matter their employment status or health condition",0
1,"As in America, this has put pressure on British taxpayers",0
1,many of whom thinkthese migrants are taking jobs from British citizens and overburdening schools and the National Health Service,0
1,"In a recent speech, Cameron proposeddenying EU migrants access to certain welfare and other benefits for four years, including denial of a child allowance",0
5,the immigrant children live with their parents in Britain,2
5,"""Thuseliminating,""writes the Wall Street Journal, ""an incentive for immigrant familiesthat try to arbitrage Britain's generous welfare state byraising children back homewherecosts are lower.""",2
1,"One parent lives in Britainto get the benefit,another stays in their home country with the children",0
1,who live on Britain's pound,0
5,"No child benefit or tax credits paid for children living outside the UK,Cameron proposes",2
1,And he's right,0
